Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.0818E-05,-0.021594,0.038697,0,0,0,0.22687,0.00031014,3.5765E-08,2.7657E-09,0.00017245,-1.1876E-05,0.00040359,0,0,0,0,0,0,package://arm_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm_description/meshes/base_link.STL,,base_asm-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0036224,-3.818E-05,0.14098,0,0,0,0.14164,8.9814E-05,1.1347E-08,3.5167E-06,9.1572E-05,3.6543E-08,0.00014005,0,0,0,0,0,0,package://arm_description/meshes/link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm_description/meshes/link_1.STL,,shoulder_assembly-1,Coordinate System1,Axis1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,2,5,-0.7854,3.927,,,,,,,,
link_2,7.53940182482427E-06,0.00505678180282543,0.0842129380713663,0,0,0,0.143507549223786,9.77478537604331E-05,-1.67427633619248E-08,-1.8083438756804E-08,9.07459548934155E-05,3.57849204977034E-06,0.000147113534917112,0,0,0,0,0,0,package://arm_description/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_description/meshes/link_2.STL,,link_2-1,Coordinate System2,Axis2,joint_2,revolute,0,0,0.1464,1.5708,0,1.5708,link_1,0,0,1,2,5,-1.57,1.57,,,,,,,,
link_3,-0.00330775018246704,-1.51931359661378E-05,-0.215292675404989,0,0,0,0.173954075434222,0.000144630940442922,-1.32847181187994E-07,3.5352602147746E-06,0.000147338139082199,-6.4127768229504E-09,0.000161646518516295,0,0,0,0,0,0,package://arm_description/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_description/meshes/link_3.STL,,link-3-main-1,Coordinate System3,Axis3,joint_3,revolute,0,0,0.0895,1.5708,-1.5708,0,link_2,0,0,-1,2,5,-3.14,3.14,,,,,,,,
link_4,-3.6973E-05,-0.0033966,0.085884,0,0,0,0.14833,9.8382E-05,-8.9535E-09,3.5319E-08,9.2437E-05,-3.5823E-06,0.00014822,0,0,0,0,0,0,package://arm_description/meshes/link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm_description/meshes/link_4.STL,,link_4-main-1,Coordinate System4,Axis4,joint_4,revolute,0,0,-0.24699,1.5708,0,-1.5708,link_3,0,0,1,2,5,-2.09,2.09,,,,,,,,
link_5,0.0020679,-2.7661E-05,0.17535,0,0,0,0.17095,0.00011288,1.3388E-07,3.5058E-06,0.00011462,-1.9509E-08,0.00015791,0,0,0,0,0,0,package://arm_description/meshes/link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm_description/meshes/link_5.STL,,link_5-main-1,Coordinate System5,Axis5,joint_5,revolute,0,0,0.090985,1.5708,1.5708,0,link_4,0,0,1,2,5,-3.14,3.14,,,,,,,,
link_6,4.11085997713972E-05,0.00257530402715223,0.0857796541219091,0,0,0,0.145620756588228,9.17894079115679E-05,-9.76230646695322E-09,-3.67352230545468E-08,9.06990729876771E-05,3.51811623142639E-06,0.000140766609119444,0,0,0,0,0,0,package://arm_description/meshes/link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_description/meshes/link_6.STL,,wrist-main-1,Coordinate System6,Axis6,joint_6,revolute,0,0,0.19699,1.5708,0,1.5708,link_5,0,0,1,2,5,-2.09,2.09,,,,,,,,
link_7,3.04281750931612E-05,0.0038925337273112,-0.0873287224716449,0,0,0,0.208798877978331,0.000104218009947256,1.7457482471713E-08,5.38289410367357E-08,0.000112327075315552,3.5173077506143E-06,0.00015338924637272,0,0,0,0,0,0,package://arm_description/meshes/link_7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_description/meshes/link_7.STL,,ee_wrist_main-1,Coordinate System7,Axis7,joint_7,revolute,0,0,0.090985,1.5708,-1.5708,0,link_6,0,0,-1,2,5,-2.09,2.09,,,,,,,,
tool_frame,2.6441E-05,9.7955E-05,0.035926,0,0,0,0.12501,2.2629E-05,2.3291E-06,8.59E-10,0.00012816,5.5585E-09,0.00014485,0,0,0,0,0,0,package://arm_description/meshes/tool_frame.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://arm_description/meshes/tool_frame.STL,,ef_main-assembly-2/ef_stepper-holder-gripper-1;ef_main-assembly-2/ef_pinion-gear-1;ef_main-assembly-2/ef_support-gear-1;ef_main-assembly-2/ef_support-gear-2;ef_main-assembly-2/ef_gripper-cover-1;ef_main-assembly-2/ee_stepper-connector-1;ef_main-assembly-2/ef_gripper-holder-1;ef_main-assembly-2/ee_stepper_mock-1,Coordinate System8,Axis8,tool_joint,revolute,0,-0.11999,-0.090985,-1.5708,0,0,link_7,0,0,-1,2,3,-2.09,2.09,,,,,,,,
grip_left_link,-0.045447,-0.0022534,0.0018967,0,0,0,0.019996,6.852E-06,6.2813E-07,-1.0387E-06,6.6734E-06,8.8E-07,5.9503E-06,0,0,0,0,0,0,package://arm_description/meshes/grip_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_description/meshes/grip_left_link.STL,,ef_main-assembly-2/ef_upper-grip-1,Coordinate System8,Axis9,grip_left_join,prismatic,0,0,0,0,0,0,tool_frame,-1,0,0,1,2,-0.04,0,,,,,,,,
