Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.08175703585237E-05,-0.0215944619942018,-0.0148034940412238,0,0,0,0.226867575584474,0.000310138970163127,3.57652047089435E-08,2.76570159636922E-09,0.000172445953154283,-1.18759040248718E-05,0.000403590658467127,0,0,0,0,0,0,package://urdf_viz/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_viz/meshes/base_link.STL,,base_asm-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.00362239334771706,-3.81795644027599E-05,0.0874826201255688,0,0,0,0.141639977131661,8.98141382308835E-05,1.13468736177936E-08,3.51673525250542E-06,9.15722320805618E-05,3.6542592292488E-08,0.000140053948831358,0,0,0,0,0,0,package://urdf_viz/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_1.STL,,shoulder_assembly-1,Coordinate System1,Axis1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,1,200,5,0,3.14,,,,,,,,
link_2,7.53940182482427E-06,0.00505678180282543,0.0842129380713663,0,0,0,0.143507549223786,9.77478537604331E-05,-1.67427633619274E-08,-1.80834387568082E-08,9.07459548934156E-05,3.57849204977034E-06,0.000147113534917112,0,0,0,0,0,0,package://urdf_viz/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_2.STL,,link_2-1,Coordinate System2,Axis2,joint_2,revolute,0,0,0.0929,1.5708,0,1.5708,link_1,0,0,1,200,5,-1.57,1.57,,,,,,,,
link_3,-0.00330775018246698,-1.51931359661378E-05,-0.215292675404989,0,0,0,0.173954075434222,0.000144630940442922,-1.32847181188018E-07,3.5352602147746E-06,0.000147338139082199,-6.41277682296454E-09,0.000161646518516295,0,0,0,0,0,0,package://urdf_viz/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_3.STL,,link-3-main-1,Coordinate System3,Axis3,joint_3,revolute,0,0,0.0895,1.5708,-1.5708,0,link_2,0,0,-1,200,5,-3.14,3.14,,,,,,,,
link_4,-3.6973238745408E-05,-0.00339659287195765,0.0858843482112302,0,0,0,0.148325167434625,9.83824919124809E-05,-8.95348942307426E-09,3.53186062441271E-08,9.24366010340051E-05,-3.58230406317329E-06,0.000148216123686448,0,0,0,0,0,0,package://urdf_viz/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_4.STL,,link_4-main-1,Coordinate System4,Axis4,joint_4,revolute,0,0,-0.24698520586243,1.5707963267949,0,-1.5707963267949,link_3,0,0,1,200,5,-2.09,2.09,,,,,,,,
link_5,0.00206792792814741,-2.76614863313207E-05,0.175346578298024,0,0,0,0.170949127914978,0.000112877897565311,1.33876282485779E-07,3.50583392437512E-06,0.00011462399449212,-1.95086999820378E-08,0.000157908884644635,0,0,0,0,0,0,package://urdf_viz/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_5.STL,,link_5-main-1,Coordinate System5,Axis5,joint_5,revolute,0,0,0.090985,1.5708,1.5708,0,link_4,0,0,1,200,5,-3.14,3.14,,,,,,,,
link_6,4.11085997713834E-05,0.00257530402715245,0.0857796541219091,0,0,0,0.145620756588228,9.1789407911568E-05,-9.76230646696901E-09,-3.67352230545573E-08,9.06990729876771E-05,3.51811623142638E-06,0.000140766609119444,0,0,0,0,0,0,package://urdf_viz/meshes/link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_6.STL,,wrist-main-1,Coordinate System6,Axis6,joint_6,revolute,0,0,0.19698520586243,1.5707963267949,0,1.5707963267949,link_5,0,0,1,200,5,-2.09,2.09,,,,,,,,
link_7,2.64411535773335E-05,9.7954550006496E-05,-0.0840589621547128,0,0,0,0.12501071907342,2.26293922031708E-05,2.32911033544145E-06,8.59002610826771E-10,0.000128156352411139,5.558511048017E-09,0.000144851958518916,0,0,0,0,0,0,package://urdf_viz/meshes/link_7.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_7.STL,,ef_main-assembly-1/ef_stepper-holder-gripper-1;ef_main-assembly-1/ef_pinion-gear-1;ef_main-assembly-1/ef_support-gear-1;ef_main-assembly-1/ef_support-gear-2;ef_main-assembly-1/ef_gripper-cover-1;ef_main-assembly-1/ee_stepper-connector-1;ef_main-assembly-1/ef_gripper-holder-1;ef_main-assembly-1/ee_stepper_mock-1,Coordinate System7,Axis7,joint_7,revolute,0,0,0.0909852058624294,1.5707963267949,-1.5707963267949,0,link_6,0,0,-1,200,5,-2.09,2.09,,,,,,,,
link_8,-0.0454469154965145,0.0022533980210059,0.0156033496088577,0,0,0,0.0199960953484895,6.85202610096929E-06,-6.28134392390059E-07,1.03874099356176E-06,6.67336841270334E-06,8.79996273613871E-07,5.95029100616288E-06,0,0,0,0,0,0,package://urdf_viz/meshes/link_8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_8.STL,,ef_main-assembly-1/ef_upper-grip-1,Coordinate System8,Axis8,joint_8,prismatic,0,0,-0.102485205862429,3.14159265358979,0,0,link_7,-1,0,0,200,1,-0.0435,0,,,,,,,,
link_9,0.0454469154965374,-0.00225339802100588,0.0156033496088577,0,0,0,0.0199960953484895,6.85202610096931E-06,-6.28134392390059E-07,-1.03874099356176E-06,6.67336841270336E-06,-8.79996273613867E-07,5.9502910061629E-06,0,0,0,0,0,0,package://urdf_viz/meshes/link_9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_viz/meshes/link_9.STL,,ef_main-assembly-1/ef_upper-grip-2,Coordinate System8,Axis8,joint_9,prismatic,0,0,-0.102485205862429,3.14159265358979,0,0,link_7,-1,0,0,200,1,0,0.0435,,,,,,,,
